dcdplugin) detected standard 32-bit DCD file of native endianness
dcdplugin) CHARMM format DCD file (also NAMD 2.1 and later)
main) file: namdOut.dcd
  4257 atoms, 20 frames, size:    1.0MB
atom 380 [ -9.607119, -10.818000, 6.511740 ]
atom 381 [ -8.850443, -7.874458, 1.881502 ]
atom 382 [ -10.915267, -6.043191, -3.491199 ]
atom 383 [ -11.805408, -3.687140, -1.582107 ]
atom 384 [ -14.306831, -1.800817, -3.278643 ]
atom 385 [ -14.516975, -0.679025, -6.275724 ]
atom 386 [ 14.228578, 2.885667, 1.881350 ]
atom 387 [ 12.152516, 4.994296, 3.680757 ]
atom 388 [ 9.873630, 7.487889, 3.768098 ]
atom 389 [ 8.761126, 7.849331, 0.201909 ]
atom 390 [ 8.573445, 10.448775, 3.116333 ]
atom 391 [ 7.661580, 12.613605, 5.692003 ]
atom 392 [ -3.763155, -14.324845, 2.108769 ]
atom 393 [ -5.873077, -11.944283, 1.568986 ]
atom 394 [ -7.236104, -9.913422, 4.017126 ]
atom 395 [ -7.911673, -7.576787, 6.618636 ]
atom 396 [ -9.733420, -4.832949, 1.046346 ]
atom 397 [ -11.491447, -3.186164, -5.395689 ]
atom 398 [ -11.555136, -0.533047, -2.262621 ]
atom 399 [ -13.341703, 0.178621, 2.833397 ]
atom 400 [ -13.636522, 1.259216, 6.141778 ]
atom 401 [ -14.532429, 4.806585, 5.689302 ]
atom 402 [ 13.350599, 8.097830, 4.518240 ]
atom 403 [ 11.460506, 9.662754, -2.971987 ]
atom 404 [ 9.642225, 10.982011, -0.085819 ]
atom 405 [ 9.949048, 13.407124, -2.565653 ]
atom 406 [ -2.381498, -14.193882, 6.273908 ]
atom 407 [ -2.820470, -11.613352, 3.942339 ]
atom 408 [ -4.561171, -9.340105, 6.137550 ]
atom 409 [ -5.011685, -7.636307, 3.089636 ]
atom 410 [ -6.783652, -5.890845, -0.008026 ]
atom 411 [ -7.865121, -5.021511, -2.949276 ]
atom 412 [ -8.964085, -2.425240, -1.039734 ]
atom 413 [ -10.172550, 1.232244, 2.518082 ]
atom 414 [ -12.442027, 3.445105, 3.375631 ]
atom 415 [ -11.557708, 6.438402, 2.334254 ]
atom 416 [ 14.420762, 6.188300, 1.591543 ]
atom 417 [ 14.243950, 8.079495, -1.502303 ]
atom 418 [ 12.440804, 12.051074, -1.009438 ]
atom 419 [ 10.674398, 14.303053, 0.767871 ]
atom 420 [ 0.255186, -13.179599, 4.541946 ]
atom 421 [ -0.561872, -10.459613, 0.057860 ]
atom 422 [ -1.342943, -10.394116, 6.967061 ]
atom 423 [ -3.484084, -9.786364, 1.253419 ]
atom 424 [ -4.428077, -4.251128, -3.029257 ]
atom 425 [ -3.513853, -2.661333, -6.019859 ]
atom 426 [ -6.416479, -1.736047, -2.634859 ]
atom 427 [ -7.241856, 2.382326, 1.259836 ]
atom 428 [ -10.150354, 2.147266, 5.874241 ]
atom 429 [ -10.721109, 5.392941, 6.169529 ]
atom 430 [ -11.960857, 7.763162, -0.878086 ]
atom 431 [ -12.427765, 9.815516, -3.453707 ]
atom 432 [ -14.001427, 11.174208, -0.943597 ]
atom 433 [ 13.853314, 14.586547, 0.462985 ]
atom 434 [ 2.819477, -14.500560, 2.869528 ]
atom 435 [ 2.252464, -11.190239, 2.030022 ]
atom 436 [ -0.176624, -9.649076, 3.516060 ]
atom 437 [ -1.227877, -7.415568, 1.093428 ]
atom 438 [ -1.366707, -5.068615, -1.842944 ]
atom 439 [ -3.046439, -2.531382, -0.450132 ]
atom 440 [ -3.827002, -0.507480, 2.387213 ]
atom 441 [ -6.473374, 0.974035, 4.180130 ]
atom 442 [ -7.218792, 3.651165, 6.749016 ]
atom 443 [ -9.086309, 4.351265, 3.225915 ]
atom 444 [ -8.991145, 6.739099, -0.050018 ]
atom 445 [ -9.837383, 8.526141, -4.939583 ]
atom 446 [ -11.147366, 10.661975, 0.572794 ]
atom 447 [ -12.595098, 13.652069, 0.892465 ]
atom 448 [ 6.047949, -14.499564, 3.680314 ]
atom 449 [ 4.312708, -13.146905, 6.151486 ]
atom 450 [ 1.939818, -10.837605, 6.022759 ]
atom 451 [ 1.344454, -6.529783, 3.245036 ]
atom 452 [ 1.463684, -5.737004, -3.250328 ]
atom 453 [ -0.231219, -4.381671, 1.267758 ]
atom 454 [ -2.301036, -2.766078, 4.611327 ]
atom 455 [ -3.511582, 0.397879, 6.208549 ]
atom 456 [ -5.086967, 3.982313, 4.110651 ]
atom 457 [ -5.698621, 4.744360, -4.324471 ]
atom 458 [ -7.186274, 7.458226, -2.954308 ]
atom 459 [ -9.090675, 9.980922, -1.824654 ]
atom 460 [ -10.034663, 11.830613, -4.732540 ]
atom 461 [ -10.055439, 14.099346, 2.997160 ]
atom 462 [ 7.773988, -13.598938, 6.755371 ]
atom 463 [ 5.618825, -11.494785, 2.215406 ]
atom 464 [ 4.944989, -9.492083, 6.481938 ]
atom 465 [ 3.984427, -8.540035, 2.925725 ]
atom 466 [ 3.597278, -4.831888, 5.227183 ]
atom 467 [ 1.588470, -2.780260, 3.539493 ]
atom 468 [ -0.646004, -1.222738, 1.678175 ]
atom 469 [ -0.278909, -0.126172, 4.853093 ]
atom 470 [ -2.331378, 2.334731, 3.477939 ]
atom 471 [ -2.618451, 5.401958, 6.188158 ]
atom 472 [ -4.407909, 7.305179, -5.379495 ]
atom 473 [ -5.869028, 9.761879, -0.652763 ]
atom 474 [ -6.871782, 10.483453, -4.343780 ]
atom 475 [ -6.497001, 14.037785, 3.581569 ]
atom 476 [ 10.534789, -13.169779, -1.716290 ]
atom 477 [ 10.147876, -11.827466, -5.129807 ]
atom 478 [ 7.994776, -9.409892, -5.429173 ]
atom 479 [ 6.746982, -7.312900, 4.633044 ]
atom 480 [ 5.418305, -5.631867, 2.183635 ]
atom 481 [ 4.352615, -2.704240, 1.679978 ]
atom 482 [ 2.590505, -0.222667, 0.693636 ]
